search_term,slug,title,similarity_score
shower door,how-to-clean-glass-shower-doors,How to Clean Glass Shower Doors,0.809110701084137
shower door,tips-for-selecting-shower-doors,Tips for Selecting Shower Doors,0.8030630946159363
shower door,how-to-install-a-pivot-shower-door,How To Install a Pivot Shower Door,0.7669531106948853
shower door,the-best-shower-curtain,The Best Shower Curtain for Your Bathroom,0.7598448395729065
shower door,custom-shower-ideas,Custom Shower Ideas,0.7409231662750244
shower door,best-shower-kits-for-your-bathroom,Best Shower Kits for Your Bathroom,0.7289074063301086
shower door,best-shower-heads-for-your-bathroom,Best Shower Heads for Your Bathroom,0.708360493183136
shower door,closet-door-ideas,Closet Door Ideas,0.689056396484375
shower door,diy-closet-doors,DIY Closet Doors,0.6890563368797302
shower door,walk-in-shower-ideas,Walk-In Shower Ideas,0.6853505969047546
shower door,framing-a-door-opening,How to Frame a Door,0.6294727921485901
shower door,how-to-tile-a-shower-wall,How to Tile a Shower Wall,0.624593198299408
shower door,front-door-ideas,Front Door Ideas,0.617607057094574
shower door,best-bath-towels-for-your-bathroom,Best Bath Towels for Your Bathroom,0.6146572828292847
shower door,how-to-install-a-hand-held-shower-unit,How to Install a Hand-Held Shower Unit,0.6126348972320557
shower door,how-to-clean-shower-curtains,How to Clean Shower Curtains,0.6071102619171143
shower door,how-to-install-a-sliding-door,How to Install a Sliding Door,0.5897707343101501
shower door,how-to-install-a-peephole-in-a-door,How to Install a Peephole in a Door,0.5848052501678467
shower door,six-step-walk-in-shower-install,Six Step Walk-In Shower Install,0.5824708938598633
shower door,how-to-tile-a-basement-shower,How to Tile a Basement Shower,0.5718978047370911
shower door,how-to-change-a-shower-head,How to Change a Shower Head,0.5679702758789062
shower door,classic-tile-for-a-walk-in-shower-renovation,Classic Tile for a Walk-In Shower Renovation,0.5659027099609375
shower door,how-to-install-a-storm-door,How to Install a Storm Door,0.565597414970398
shower door,types-of-shower-bases-and-walls,Types of Shower Bases and Walls,0.5654985308647156
shower door,how-to-install-a-shower-pan,How To Install a Shower Pan,0.5613701939582825
shower door,best-storm-doors-and-screen-doors-for-your-home,Best Storm Doors and Screen Doors for Your Home,0.5568380355834961
shower door,modern-bathroom-ideas,Modern Bathroom Ideas,0.5525395274162292
shower door,how-to-install-a-direct-to-stud-shower-enclosure,How to Install a Direct-to-Stud Shower Enclosure,0.5494261980056763
shower door,how-to-choose-a-cat-door,How to Choose a Cat Door,0.5489071011543274
shower door,diy-barn-door,DIY Barn Door ,0.5479430556297302
shower door,types-of-interior-doors,Types of Interior Doors,0.5455708503723145
shower door,white-bathroom-ideas,White Bathroom Ideas,0.5455483198165894
shower door,curtain-ideas,20 Curtain Ideas for Your Home,0.5393970608711243
shower door,how-to-install-a-door-lock,How to Install a Door Lock,0.5389692783355713
shower door,how-to-install-a-pocket-door,How to Install a Pocket Door ,0.538716733455658
shower door,how-to-paint-interior-doors,How to Paint Interior Doors,0.5385342836380005
shower door,how-to-install-an-interior-door,How to Install an Interior Door,0.5376837849617004
shower door,how-to-paint-a-door-frame,How to Paint a Door Frame,0.5370730757713318
